order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
1961864118,63230,2024-07-17 08:52:00,2024-07-17 08:47:00,-5,0.96,On Time,
1549769649,14983,2024-05-28 13:25:00,2024-05-28 13:27:00,2,0.98,On Time,Traffic
9185164487,39859,2024-09-23 13:25:00,2024-09-23 13:29:00,4,3.83,On Time,Traffic
9644738826,61497,2023-11-24 16:34:00,2023-11-24 16:33:00,-1,2.76,On Time,
5427684290,84315,2023-11-20 05:17:00,2023-11-20 05:18:00,1,2.63,On Time,Traffic
3265154092,554,2023-03-18 16:49:00,2023-03-18 16:48:00,-1,1.94,On Time,
4898355547,14630,2023-04-16 19:01:00,2023-04-16 19:02:00,1,2.2,On Time,Traffic
6568151549,67714,2024-03-31 06:37:00,2024-03-31 06:39:00,2,1.3,On Time,Traffic
6006693867,91362,2023-07-14 00:02:00,2023-07-14 00:05:00,3,3.38,On Time,Traffic
374186990,77203,2023-08-09 01:37:00,2023-08-09 01:44:00,7,1.47,Slightly Delayed,Traffic
4455336265,64046,2023-08-30 19:47:00,2023-08-30 19:45:00,-2,0.76,On Time,
3539286337,94899,2023-04-25 20:44:00,2023-04-25 20:39:00,-5,3.68,On Time,
9171116867,73907,2023-10-22 11:25:00,2023-10-22 11:37:00,12,2.23,Slightly Delayed,Traffic
5504941865,56077,2024-01-28 02:55:00,2024-01-28 03:06:00,11,4.45,Slightly Delayed,Traffic
5868326481,94140,2024-03-15 21:24:00,2024-03-15 21:21:00,-3,2.8,On Time,
2137046916,12377,2024-02-03 09:03:00,2024-02-03 09:01:00,-2,1.78,On Time,
8195544338,102,2023-04-26 04:20:00,2023-04-26 04:28:00,8,1.16,Slightly Delayed,Traffic
2889700050,45032,2024-04-30 16:33:00,2024-04-30 16:36:00,3,3.07,On Time,Traffic
65827885,1108,2023-07-27 00:25:00,2023-07-27 00:20:00,-5,1.65,On Time,
4656471694,62782,2023-12-09 08:27:00,2023-12-09 08:35:00,8,3.7,Slightly Delayed,Traffic
6625178717,74906,2023-07-01 04:40:00,2023-07-01 04:53:00,13,4.22,Slightly Delayed,Traffic
7169557514,79516,2023-03-21 05:38:00,2023-03-21 05:50:00,12,3.28,Slightly Delayed,Traffic
2268306684,65733,2024-05-28 15:11:00,2024-05-28 15:10:00,-1,1.82,On Time,
6905293278,53868,2024-06-16 10:36:00,2024-06-16 11:02:00,26,0.58,Significantly Delayed,Traffic
1769493463,22954,2024-06-26 07:29:00,2024-06-26 07:24:00,-5,1.21,On Time,
5003387344,21004,2024-06-23 11:05:00,2024-06-23 11:00:00,-5,4.52,On Time,
2064484752,43022,2024-05-07 23:00:00,2024-05-07 22:55:00,-5,2.29,On Time,
964822979,42914,2024-07-13 10:49:00,2024-07-13 10:47:00,-2,1.09,On Time,
6037899648,59131,2024-03-27 18:00:00,2024-03-27 18:04:00,4,4.56,On Time,Traffic
9347571484,88612,2024-11-02 17:26:00,2024-11-02 17:39:00,13,3.29,Slightly Delayed,Traffic
3286177534,90038,2023-06-25 00:09:00,2023-06-25 00:07:00,-2,3.07,On Time,
9073572548,28575,2023-05-02 23:25:00,2023-05-02 23:47:00,22,4.77,Significantly Delayed,Traffic
8395583761,84816,2024-08-04 23:53:00,2024-08-04 23:48:00,-5,3.53,On Time,
6355378227,23910,2023-08-11 17:06:00,2023-08-11 17:05:00,-1,3.91,On Time,
277376321,78589,2024-07-28 04:45:00,2024-07-28 04:44:00,-1,3.85,On Time,
8559748526,93002,2023-04-05 18:27:00,2023-04-05 18:28:00,1,0.94,On Time,Traffic
1458051433,61040,2024-04-26 09:30:00,2024-04-26 09:26:00,-4,2.75,On Time,
5838302640,30907,2023-05-12 06:02:00,2023-05-12 06:09:00,7,1.7,Slightly Delayed,Traffic
1380971977,52614,2024-06-02 13:21:00,2024-06-02 13:16:00,-5,4.09,On Time,
1221099013,60689,2023-07-23 11:01:00,2023-07-23 11:03:00,2,3.15,On Time,Traffic
6771166303,98179,2023-07-24 04:36:00,2023-07-24 04:48:00,12,2.55,Slightly Delayed,Traffic
7111337755,84833,2023-05-06 06:07:00,2023-05-06 06:04:00,-3,3.44,On Time,
5562922993,73904,2023-12-06 02:14:00,2023-12-06 02:17:00,3,1.64,On Time,Traffic
5630957897,14408,2024-06-18 07:32:00,2024-06-18 07:36:00,4,3.92,On Time,Traffic
1787380558,95835,2023-11-08 17:43:00,2023-11-08 17:45:00,2,2.8,On Time,Traffic
32613017,77303,2023-03-17 00:36:00,2023-03-17 00:36:00,0,4.0,On Time,
2039041670,31963,2024-11-01 10:05:00,2024-11-01 10:20:00,15,2.12,Slightly Delayed,Traffic
210693801,14789,2024-08-21 04:10:00,2024-08-21 04:12:00,2,2.5,On Time,Traffic
8120002258,61526,2024-01-01 00:15:00,2024-01-01 00:11:00,-4,2.43,On Time,
2177917034,75636,2024-02-08 20:16:00,2024-02-08 20:25:00,9,0.73,Slightly Delayed,Traffic
4254814926,1761,2024-04-21 06:34:00,2024-04-21 06:33:00,-1,1.74,On Time,
6074172790,3481,2023-07-26 02:26:00,2023-07-26 02:30:00,4,2.48,On Time,Traffic
3381573131,50582,2024-07-16 00:47:00,2024-07-16 00:42:00,-5,4.91,On Time,
